"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 08 00:42:41 CST 2020","Sun Nov 08 00:42:41 CST 2020","0","scripts","test_login","TestLogin","","","test_login_003",""
"passed","Sun Nov 08 00:42:41 CST 2020","Sun Nov 08 00:42:41 CST 2020","0","scripts","test_login","TestLogin","","","test_login_002",""
"failed","Sun Nov 08 00:42:41 CST 2020","Sun Nov 08 00:42:41 CST 2020","0","scripts","test_login","TestLogin","","","test_login_001",""
